n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,matched_frac,sigma_px,crb,condition,arch
132,-0.02335785676430646,0.08568975035065307,0.1816338742814458,0.14394609188805177,0.24212686204058106,07457,50,0,0.75,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02691355106606963,0.036692155818471406,0.195648801272388,0.18306067173934734,0.2745131635118291,07457,50,0,0.75,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.01878387713613705,-0.024598505640604174,0.2814909219840822,0.27339623098027704,0.3699004759665918,07457,50,0,0.875,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.007122040780188854,0.06903955419655006,0.20467555706307275,0.13323329394554292,0.23637187973107257,07457,50,0,0.875,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.036730993751818986,0.013829015935215239,0.20466888997229177,0.1880649256023767,0.27412659912548903,07457,50,0,0.875,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.01671424639299346,-0.024302425608169642,0.2634957016754085,0.2487934122149017,0.3419760778438179,07457,50,1,0.0,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0035937892156425733,0.053020007575739214,0.1755193801106292,0.1878044943556516,0.23899242113207264,07457,50,1,0.0,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02201506205867787,-0.01024322148876422,0.19280903154821277,0.2546837097862611,0.2868412459597475,07457,50,1,0.0,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.006880217414590106,-0.01634072903942041,0.2505771258362867,0.2664998608797937,0.3373888938415559,07457,50,1,0.125,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.011480741162081642,0.07562261168623508,0.15331093285331138,0.1736540201923132,0.22957271383373415,07457,50,1,0.125,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.01952169163405415,0.05029527787118582,0.15993052118584766,0.2097848713935822,0.2688338436843382,07457,50,1,0.125,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0029788708771079087,-0.01473976201647531,0.26872514388693336,0.30396454009849766,0.3560067989764415,07457,50,1,0.25,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.010042646576856384,0.05584827059131925,0.1721363478761236,0.1358290080874697,0.2353172905287004,07457,50,1,0.25,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.009357108347430199,0.005257695510623606,0.2037280193249907,0.18687222159055913,0.2693616102481107,07457,50,1,0.25,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0317476067892315,-0.007005869058531289,0.23875151022208083,0.2824231565459024,0.3645734385641582,07457,50,1,0.375,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.006492483151795625,0.08966350626592856,0.14909376508768998,0.13107290815279052,0.23052757512939526,07457,50,1,0.375,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.026535872099955782,0.039350421605750086,0.17789843200806257,0.19953274727568154,0.2766001984957364,07457,50,1,0.375,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.01768005295171804,0.009601099202818375,0.2738777670367563,0.232493526478303,0.35586053860828754,07457,50,1,0.5,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02010061268305563,0.08378961265002616,0.1768837601334423,0.13083925475419528,0.24418611007559574,07457,50,1,0.5,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03160359874116381,0.03816804833076759,0.20044687947933532,0.17653931220000335,0.27876874915814476,07457,50,1,0.5,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.020319604345147013,-0.005167092885656643,0.28263095152558104,0.23463457784265357,0.3744252634840425,07457,50,1,0.625,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0022199653814425346,0.07146075555787235,0.16496485128986949,0.17283227034555032,0.23928103301965936,07457,50,1,0.625,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.017687871330419824,0.013969078617087405,0.18791413330872614,0.1771168218577504,0.2673048622218128,07457,50,1,0.625,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03497627563474737,0.017097404637951286,0.28576900429188073,0.23236007644759116,0.3828081503530511,07457,50,1,0.75,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.01807049068982991,0.09016068312389791,0.18022651297481154,0.14706449659166576,0.24365253686402366,07457,50,1,0.75,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.027373801192098313,0.054354468580555704,0.2235333553033393,0.1916840182727652,0.281404837999564,07457,50,1,0.75,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
