stem,dose,blur,tilt,iou,condition,arch,model
00024,200,2.0,0.1,0.7503593675131768,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,2.0,0.25,0.8377630121816169,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,0.0,0.0,0.7108597285067874,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,0.0,0.1,0.7029702970297029,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,0.0,0.25,0.7731221257026061,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,1.0,0.0,0.7139629462268414,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,1.0,0.1,0.6812852800694746,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,1.0,0.25,0.7830334190231363,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,2.0,0.0,0.6988214753382802,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,2.0,0.1,0.7137096774193549,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,1000,2.0,0.25,0.7876782077393075,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,0.0,0.0,0.8880192655027093,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,0.0,0.1,0.8896065766294774,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,0.0,0.25,0.8633686690223793,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,1.0,0.0,0.8920557913887205,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,1.0,0.1,0.8786264061574897,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,1.0,0.25,0.8760330578512396,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,2.0,0.0,0.901877649909146,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,2.0,0.1,0.8923346986541837,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,20,2.0,0.25,0.861046511627907,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,0.0,0.0,0.8793939393939394,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,0.0,0.1,0.8977272727272727,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,0.0,0.25,0.8724672228843862,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,1.0,0.0,0.8888213851761847,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,1.0,0.1,0.8826650943396226,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,1.0,0.25,0.8781512605042017,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,2.0,0.0,0.9042745334136063,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,2.0,0.1,0.8909090909090909,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,50,2.0,0.25,0.8814159292035398,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,0.0,0.0,0.8879415347137637,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,0.0,0.1,0.8999400838825644,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,0.0,0.25,0.8751507840772015,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,1.0,0.0,0.8928136419001218,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,1.0,0.1,0.90311004784689,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,1.0,0.25,0.874251497005988,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,2.0,0.0,0.9039855072463768,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,2.0,0.1,0.9004711425206124,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,200,2.0,0.25,0.887106357694593,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,0.0,0.0,0.886919315403423,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,0.0,0.1,0.9038461538461539,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,0.0,0.25,0.8752260397830018,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,1.0,0.0,0.8951219512195122,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,1.0,0.1,0.9057057057057057,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,1.0,0.25,0.8837349397590362,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,2.0,0.0,0.905397210430564,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,2.0,0.1,0.9067695961995249,no_n2v,AtomSegNet,AtomSegNet no_n2v
00030,1000,2.0,0.25,0.8928143712574851,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,0.0,0.0,0.6695572797809219,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,0.0,0.1,0.708680725846003,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,0.0,0.25,0.665506742061766,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,1.0,0.0,0.7003303445021236,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,1.0,0.1,0.676730143985137,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,1.0,0.25,0.6029411764705882,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,2.0,0.0,0.6396708531831962,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,2.0,0.1,0.6818390804597702,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,20,2.0,0.25,0.61,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,0.0,0.0,0.714006832601269,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,0.0,0.1,0.7341269841269841,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,0.0,0.25,0.7096774193548387,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,1.0,0.0,0.7421479229989868,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,1.0,0.1,0.724188790560472,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,1.0,0.25,0.6799268404206675,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,2.0,0.0,0.6908752327746741,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,2.0,0.1,0.697040864255519,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,50,2.0,0.25,0.6924493554327809,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,0.0,0.0,0.7491323748140803,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,0.0,0.1,0.7600202942668696,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,0.0,0.25,0.7343444227005871,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,1.0,0.0,0.7531359759157049,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,1.0,0.1,0.7530181086519114,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,1.0,0.25,0.7344578313253012,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,2.0,0.0,0.7476727094561489,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,2.0,0.1,0.7455621301775148,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,200,2.0,0.25,0.7050987597611392,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,1000,0.0,0.0,0.7644110275689223,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,1000,0.0,0.1,0.76088044022011,no_n2v,AtomSegNet,AtomSegNet no_n2v
00033,1000,0.0,0.25,0.7516049382716049,no_n2v,AtomSegNet,AtomSegNet no_n2v
